asin,delivery,discount,image_url,original_price,price,prime,rating,reviews_count,title,url
B07PR1CL3S,"Mon, 10 Mar",62.43%,https://m.media-amazon.com/images/I/51FNnHjzhQL._AC_SX148_SY213_QL70_.jpg,"₹3,990","₹1,499",Yes,4.0,0,"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODk4ODQ1ODYyMDA5NDcxOjE3NDE0MTk1MjI6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDAwNDAzNjM5ODYxMzI6OjA6Og&url=%2FRockerz-450-Wireless-Bluetooth-Headphone%2Fdp%2FB07PR1CL3S%2Fref%3Dmp_s_a_1_1_sspa%3Fcrid%3D1ZIPJ3QI2RUNW%26dib%3DeyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bheadphones%26qid%3D1741419521%26s%3Dcomputers%26sprefix%3Dbluetooth%2Bheadphone%252Ccomputers%252C231%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1
B09Y5MK1KB,"Mon, 10 Mar",77.16%,https://m.media-amazon.com/images/I/51+e7yrgPpL._AC_SX148_SY213_QL70_.jpg,"₹3,499",₹799,Yes,3.9,0,"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 min=200 min), 13mm Driver,Low Latency, BT v5.2 (Mint Green)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODk4ODQ1ODYyMDA5NDcxOjE3NDE0MTk1MjI6c3BfcGhvbmVfc2VhcmNoX2F0ZjoyMDA1NDI4NTUxMTk5ODo6MDo6&url=%2FNoise-Bluetooth-Wireless-30-Hours-Instacharge%2Fdp%2FB09Y5MK1KB%2Fref%3Dmp_s_a_1_2_sspa%3Fcrid%3D1ZIPJ3QI2RUNW%26dib%3DeyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bheadphones%26qid%3D1741419521%26s%3Dcomputers%26sprefix%3Dbluetooth%2Bheadphone%252Ccomputers%252C231%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1
B0CKJC83YG,"Mon, 10 Mar",67.91%,https://m.media-amazon.com/images/I/61RkaH6LYPL._AC_SX148_SY213_QL70_.jpg,"₹2,490",₹799,Yes,3.8,0,"boAt Rockerz 110/Rockerz 109 Wireless Neckband with Up to 40 hrs Playtime, Dual Device Pairing, ENx Tech, Beast Mode, ASAP Charging, BTv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Fern Green)",https://www.amazon.in/boAt-Launched-Rockerz-110-Interface/dp/B0CKJC83YG/ref=mp_s_a_1_3?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-3
B08TV2P1N8,"Mon, 10 Mar",74.96%,https://m.media-amazon.com/images/I/61+SW9nDTEL._AC_SX148_SY213_QL70_.jpg,"₹3,990",₹999,Yes,4.0,0,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=mp_s_a_1_4?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-4
B07PR1CL3S,"Mon, 10 Mar",62.43%,https://m.media-amazon.com/images/I/51FNnHjzhQL._AC_SX148_SY213_QL70_.jpg,"₹3,990","₹1,499",Yes,4.0,0,"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)",https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=mp_s_a_1_5?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-5
B0DGTSTQWL,"Mon, 10 Mar",55.86%,https://m.media-amazon.com/images/I/71L70bAl2KL._AC_SX148_SY213_QL70_.jpg,"₹2,490","₹1,099",Yes,3.1,0,"boAt Rockerz 430 w/ 40mm Drivers, Beast Mode w/ 40ms Latency, 40hrs Playback, ENx Tech, Voice Assistant, BTv5.4, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)",https://www.amazon.in/boAt-Rockerz-430-Assistant-Headphones/dp/B0DGTSTQWL/ref=mp_s_a_1_6?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-6
B0DFHFH16K,"Mon, 10 Mar",70.01%,https://m.media-amazon.com/images/I/71zfpkr4bYL._AC_SX148_SY213_QL70_.jpg,"₹5,999","₹1,799",Yes,4.2,0,"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Controls, IPX5 Wireless Headphones (Black)",https://www.amazon.in/Boult-Bluetooth-Headphones-Playtime-Charging/dp/B0DFHFH16K/ref=mp_s_a_1_7?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-7
B08QTYYNDN,"Mon, 10 Mar",43.83%,https://m.media-amazon.com/images/I/61kFL7ywsZS._AC_SX148_SY213_QL70_.jpg,"₹4,449","₹2,499",Yes,4.0,0,"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=mp_s_a_1_8?crid=1ZIPJ3QI2RUNW&dib=eyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U&dib_tag=se&keywords=bluetooth+headphones&qid=1741419521&s=computers&sprefix=bluetooth+headphone%2Ccomputers%2C231&sr=1-8
B0DGV13C31,"Mon, 10 Mar",-3600.59%,https://m.media-amazon.com/images/I/61z3Rc-L94L._AC_SX148_SY213_QL70_.jpg,₹20.24,₹749,Yes,3.6,0,"Fastrack Fpods FE100|BT5.4 TWS in Ear Earbuds, 40Hrs Playtime, 13mm Extra Deep Bass Drivers, Dual Mic ENC for Crystal Clear Calls, Low Latency Gaming Mode Upto 60ms - 120 Mins in 10 Mins",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODk4ODQ1ODYyMDA5NDcxOjE3NDE0MTk1MjI6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAzNDY4NTg3NTc0MzI6OjA6Og&url=%2FFastrack-Earbuds-Playtime-Drivers-Crystal%2Fdp%2FB0DGV13C31%2Fref%3Dmp_s_a_1_9_sspa%3Fcrid%3D1ZIPJ3QI2RUNW%26dib%3DeyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bheadphones%26qid%3D1741419521%26s%3Dcomputers%26sprefix%3Dbluetooth%2Bheadphone%252Ccomputers%252C231%26sr%3D1-9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1
B0CY1Z6WGN,"Mon, 10 Mar",63.65%,https://m.media-amazon.com/images/I/61XuLr92V3L._AC_SX148_SY213_QL70_.jpg,"₹5,499","₹1,999",Yes,3.8,0,"Noise 3 Wireless On-Ear Headphones with 70H Playtime, 40mm Driver, Low Latency(up to 45ms),Dual Pairing, BT v5.3 (Midnight Blue)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODk4ODQ1ODYyMDA5NDcxOjE3NDE0MTk1MjI6c3BfcGhvbmVfc2VhcmNoX210ZjozMDAyODcyMDkxMTQxMzI6OjA6Og&url=%2FNoise-Launched-Wireless-Headphones-Playtime%2Fdp%2FB0CY1Z6WGN%2Fref%3Dmp_s_a_1_10_sspa%3Fcrid%3D1ZIPJ3QI2RUNW%26dib%3DeyJ2IjoiMSJ9.Let3Q9_e5iLrPx0CfVHnAA-qPq7FrAsbtV_VSOl0anO11g3m17VF8_Fj5MuBOpAFSnGtI6fgPeacA0BuAfDxx77NYcUWZ9MiJG1BEAElAWDxs8CAKkhyucrkRd9iUr15RTcB9eQ-agl6FMdpLtqwigs3xywex2hdHqVkUJ8Uglb9Bnma6EiCQ7tVrDxTeHYedGJ2EmEMZG8asCIm49TlVQ._8Xh9AePRClXzToQ5Svk7ElPKw3a35CsLVy6cfAMr4U%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bheadphones%26qid%3D1741419521%26s%3Dcomputers%26sprefix%3Dbluetooth%2Bheadphone%252Ccomputers%252C231%26sr%3D1-10-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1
