asin,delivery,discount,image_url,original_price,page,price,prime,rating,reviews_count,sponsored,title,url
B0DTYZ2CG8,"Mon, 10 Mar",(14% off),https://m.media-amazon.com/images/I/61nOQRuJydL._AC_UY218_.jpg,"₹88,474",1,"₹76,490",Yes,5.0,1,Yes,"Sponsored Ad - HP Victus, 13th Gen Intel Core i5-13420H, 6 GB RTX 3050 (Upgradable 16GB DDR4, 512GB SSD)Microsoft365* Office24,Win11, 144Hz,300 nits,IPS, 15.6inch(39.6cm)FHD Gaming Laptop, Mica Silver,2.3kg,fa2700TX",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTkyNTk1MDY1MTE5ODI4OjE3NDE0MTc0MTk6c3BfYXRmOjMwMDQ5NjI1NjQ1MTczMjo6MDo6&url=%2FHP-i5-13420H-15-6inch-Enhanced-fa2700TX%2Fdp%2FB0DTYZ2CG8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1WDCNLG2RPSXG%26dib%3DeyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1741417419%26sprefix%3Dlaptops%252Caps%252C211%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0DL5N2TFC,"Mon, 10 Mar",(26% off),https://m.media-amazon.com/images/I/71xfR660ZmL._AC_UY218_.jpg,"₹86,890",1,"₹64,490",Yes,3.9,783,Yes,"Sponsored Ad - Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTkyNTk1MDY1MTE5ODI4OjE3NDE0MTc0MTk6c3BfYXRmOjMwMDQxMzQ1MTYyODAzMjo6MDo6&url=%2FLenovo-i7-13620H-UHDGraphics-ARCTIC-Grey-83EM00GTIN%2Fdp%2FB0DL5N2TFC%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1WDCNLG2RPSXG%26dib%3DeyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1741417419%26sprefix%3Dlaptops%252Caps%252C211%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0DG2GCTD7,"Mon, 10 Mar",(43% off),https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,"₹58,999",1,"₹33,490",Yes,4.0,"1,077",No,"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop",https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_3?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-3
B0BWS9YNCX,"Mon, 10 Mar",(16% off),https://m.media-amazon.com/images/I/711DWxBrdZL._AC_UY218_.jpg,"₹72,718",1,"₹60,990",Yes,4.1,218,No,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_4?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-4
B0DMTPY8PJ,"Wed, 12 Mar",(64% off),https://m.media-amazon.com/images/I/611AaVzaCQL._AC_UY218_.jpg,"₹49,999",1,"₹17,900",Yes,3.3,266,No,(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_5?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-5
B0D5DFR78J,"Mon, 10 Mar",(24% off),https://m.media-amazon.com/images/I/61nTNphSBvL._AC_UY218_.jpg,"₹83,990",1,"₹63,990",Yes,4.0,447,No,"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_6?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-6
B08N5W4NNB,"Mon, 10 Mar",(29% off),https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,"₹92,900",1,"₹65,990",Yes,4.6,"6,467",No,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_7?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-7
B0C3RF3HT3,"Mon, 10 Mar",(26% off),https://m.media-amazon.com/images/I/71Nv3AqrciL._AC_UY218_.jpg,"₹52,273",1,"₹38,890",Yes,4.1,"1,924",No,"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU",https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3RF3HT3/ref=sr_1_8?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-8
B0D7PYTTGH,"Mon, 10 Mar",(29% off),https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg,"₹33,999",1,"₹23,990",Yes,3.4,249,No,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_9?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-9
B0B3C9ZHJZ,"Mon, 10 Mar",(47% off),https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,"₹1,49,900",1,"₹78,990",Yes,4.5,35,No,"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C9ZHJZ/ref=sr_1_10?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.LZfCTyVed_tC1nS4zZaoimDjZNSh2LfDKL4JiS2Nn3VTnEBTvkWAFxH06pQXSwNGjCuDi02Ljrxp0TkpC22BgAAl5v3gHPO9dlknUC17CD3CmClDerV7fRcEL-0fgQ0INpr5p59Ste3f4uyvV2Ls1wfheHtHmQRIGtoi5bSkB1k310gaUWt5XpTODPgSeOTNUMgtIYOtVUCcW6B9TqxXJkjKEFaCwLZ9I8MVwffx0KQ.1yfDavYsCdVg2uSHDR60XYCTx2W-LVib8uUx5EqxXak&dib_tag=se&keywords=laptops&qid=1741417419&sprefix=laptops%2Caps%2C211&sr=8-10
