asin,title,price,original_price,discount,rating,reviews_count,image_url,url,prime,delivery,sponsored
B0CJ2R7DSB,CEDO Magfit Cover for iPhone 15 (6.1.inch) | Mag-Safe Wireless Charging | Designed with Magnetic Lock Shockproof Phone Bumper Transparent Back Case Cover (Clear),249.0,999.0,75,3.7,89,https://m.media-amazon.com/images/I/71mjTw3vCGL._AC_UY218_.jpg,,False,,True
B0DRD6GRJ9,Sounce iPhone 16 Pro Case Cover with Ultra-Hybrid Crystal Clear | Camera Protection Bump | Shockproof Design | Hard Clear Back | Bumper Case Cover for iPhone 16 Pro (Transparent),199.0,999.0,80,4.3,551,https://m.media-amazon.com/images/I/71T7O2LvhyL._AC_UY218_.jpg,,False,,True
B0CXZ4V1HB,Amazon Brand Solimo Samsung Galaxy F15 5G Back Cover | Slim Soft Back Case for Samsung Galaxy F15 5G (Transparent),109.0,999.0,89,4.0,192,https://m.media-amazon.com/images/I/410rYtgPtdL._AC_UY218_.jpg,https://www.amazon.in/Solimo-Samsung-Galaxy-F15-Transparent/dp/B0CXZ4V1HB/ref=sr_1_3?crid=25XU9TQTOELDW&dib=eyJ2IjoiMSJ9.zYF4WLIqJpkFQXx807g6Y7qSMwAmg9i6Oo72CmGy0BP3HKzwpsejrBauFh7eXhz6Z6TLzgZxBlsjK1gcfV9eK7S3DV8EZdyXyFqogxq_cmgPD7c7KJmCxhY78-pU0vT92z9Ype1fq2GSvTiR3sd_2lo5aF2pH0rDAvg_TY0_tdtbKEi10ws52tubsKmdE10LiO8RuwMz7GkKOcES_6f7y0uXzmcdhrFAHmkoyQtA8os.MIaJTGYN2i0o6QuHrAMLPrkG-KUkvLWiHYnuHIKtlLk&dib_tag=se&keywords=mobile+back+cover&qid=1741417111&sprefix=mobile+back+cover%2Caps%2C256&sr=8-3,False,,False
B0C2H5L9PR,TheGiftKart Shockproof Crystal Clear Back Cover Case for Samsung Galaxy M14 5G | 360 Degree Protection | Protective Design | Transparent Back (PC & TPU | Black Bumper),149.0,999.0,85,4.3,1899,https://m.media-amazon.com/images/I/515WAQLOOuL._AC_UY218_.jpg,https://www.amazon.in/TheGiftKart-Shockproof-Protection-Protective-Transparent/dp/B0C2H5L9PR/ref=sr_1_4?crid=25XU9TQTOELDW&dib=eyJ2IjoiMSJ9.zYF4WLIqJpkFQXx807g6Y7qSMwAmg9i6Oo72CmGy0BP3HKzwpsejrBauFh7eXhz6Z6TLzgZxBlsjK1gcfV9eK7S3DV8EZdyXyFqogxq_cmgPD7c7KJmCxhY78-pU0vT92z9Ype1fq2GSvTiR3sd_2lo5aF2pH0rDAvg_TY0_tdtbKEi10ws52tubsKmdE10LiO8RuwMz7GkKOcES_6f7y0uXzmcdhrFAHmkoyQtA8os.MIaJTGYN2i0o6QuHrAMLPrkG-KUkvLWiHYnuHIKtlLk&dib_tag=se&keywords=mobile+back+cover&qid=1741417111&sprefix=mobile+back+cover%2Caps%2C256&sr=8-4,False,,False
B084Z3S9PK,CEDO Samsung Galaxy M31 / F41 / M31 Prime Back Cover | Camera Bump Protection & Ultra Slim | Matte Soft Silicon Shock Proof Rubberised Back Case Cover (Blue),149.0,999.0,85,4.2,17119,https://m.media-amazon.com/images/I/61wCEjb7FiL._AC_UY218_.jpg,https://www.amazon.in/CEDO-Samsung-Galaxy-M31-Rubberised/dp/B084Z3S9PK/ref=sr_1_5?crid=25XU9TQTOELDW&dib=eyJ2IjoiMSJ9.zYF4WLIqJpkFQXx807g6Y7qSMwAmg9i6Oo72CmGy0BP3HKzwpsejrBauFh7eXhz6Z6TLzgZxBlsjK1gcfV9eK7S3DV8EZdyXyFqogxq_cmgPD7c7KJmCxhY78-pU0vT92z9Ype1fq2GSvTiR3sd_2lo5aF2pH0rDAvg_TY0_tdtbKEi10ws52tubsKmdE10LiO8RuwMz7GkKOcES_6f7y0uXzmcdhrFAHmkoyQtA8os.MIaJTGYN2i0o6QuHrAMLPrkG-KUkvLWiHYnuHIKtlLk&dib_tag=se&keywords=mobile+back+cover&qid=1741417111&sprefix=mobile+back+cover%2Caps%2C256&sr=8-5,False,,False
B0D7LWDGLR,PULOKA - Mobile Cover for iPhone 15 - Horse Embroidery - Sleek & Stylish - Protective & Anti Scratch Phone Cover Vegan Leather Back Case - Men & Women - Santa Barbara Polo (Black),1139.0,2599.0,56,4.6,3,https://m.media-amazon.com/images/I/81gKt5fSBEL._AC_UL320_.jpg,,False,,False
B0D9QP7SZ2,DailyObjects Battle Stride 2.0 Magnetic Case Cover for iPhone 15 | Compatible with Wireless Charging Slim Back Cover with Inner Magnetic Ring Shockproof,899.0,1199.0,25,5.0,4,https://m.media-amazon.com/images/I/61qfFj5Z4HL._AC_UL320_.jpg,,False,,False
B0D7M914RF,PULOKA - Mobile Cover for iPhone 15 PRO - Horse Embroidery - Sleek & Stylish - Protective & Anti Scratch Phone Cover Vegan Leather Back Case - Men & Women - Santa Barbara Polo (Brown),1139.0,2599.0,56,4.8,6,https://m.media-amazon.com/images/I/81E1hAJyroL._AC_UL320_.jpg,,False,,False
B0CZ7963KL,"Golden Sand Cover Vegan Leather Texture Series Shockproof Armor TPU Back Cover Case for Samsung Galaxy A55 5G Mobile Phone, Blue",599.0,1199.0,50,4.3,37,https://m.media-amazon.com/images/I/71+nFj32fQL._AC_UL320_.jpg,,False,,False
B0C5S8QWXX,Spigen Classic C1 Magfit Back Cover Case Compatible with iPhone 15 Pro Max (TPU + Poly Carbonate | Graphite),3099.0,4599.0,33,4.2,1196,https://m.media-amazon.com/images/I/71eYCSuMaSL._AC_UL320_.jpg,,False,,False
