asin,delivery,discount,image_url,original_price,price,prime,rating,reviews_count,title,url
B07WHQHNZC,"Mon, 10 Mar",(34% off),https://m.media-amazon.com/images/I/61wHkeTOhWL._AC_UY218_.jpg,"₹18,999","₹12,499",Yes,4.2,"6,561","iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjIzNTE3ODU2MTQwMTgzOjE3NDE0MTgxODI6c3BfYXRmOjMwMDE5MzUwNTg4ODUzMjo6MDo6&url=%2FiQOO-Tornado-Storage-Snapdragon-FlashCharge%2Fdp%2FB07WHQHNZC%2Fref%3Dsr_1_1_sspa%3Fcrid%3DMU2BOMQCUT3U%26dib%3DeyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs%26dib_tag%3Dse%26keywords%3Dsmartphones%26qid%3D1741418182%26s%3Delectronics%26sprefix%3Dsmartphone%252Celectronics%252C194%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0DPS62DYH,"Mon, 10 Mar",(4% off),https://m.media-amazon.com/images/I/61muVCIy-uL._AC_UY218_.jpg,"₹44,999","₹42,998",Yes,4.2,674,"OnePlus 13R | Smarter with OnePlus AI (12GB RAM, 256GB Storage Nebula Noir)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjIzNTE3ODU2MTQwMTgzOjE3NDE0MTgxODI6c3BfYXRmOjMwMDQ2MDUwMDkwOTkzMjo6MDo6&url=%2FOnePlus-13R-Smarter-Storage-Nebula%2Fdp%2FB0DPS62DYH%2Fref%3Dsr_1_2_sspa%3Fcrid%3DMU2BOMQCUT3U%26dib%3DeyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs%26dib_tag%3Dse%26keywords%3Dsmartphones%26qid%3D1741418182%26s%3Delectronics%26sprefix%3Dsmartphone%252Celectronics%252C194%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0CYBLHZPW,"Mon, 10 Mar",(34% off),https://m.media-amazon.com/images/I/712tqhtIw1L._AC_UY218_.jpg,"₹8,999","₹5,899",Yes,4.0,417,POCO C61 Ethereal Blue 4GB RAM 64GB ROM,https://www.amazon.in/POCO-C61-Ethereal-Blue-64GB/dp/B0CYBLHZPW/ref=sr_1_3?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-3
B0CJ2DVN1Q,"Mon, 10 Mar",(37% off),https://m.media-amazon.com/images/I/81bQaAhgpFL._AC_UY218_.jpg,"₹12,999","₹8,187",Yes,3.9,194,"Samsung Galaxy A05 (Light Green, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2DVN1Q/ref=sr_1_4?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-4
B0DDY9HMJG,"Mon, 10 Mar",(21% off),https://m.media-amazon.com/images/I/81dl4dQY3BL._AC_UY218_.jpg,"₹14,999","₹11,795",Yes,4.1,215,"Motorola G45 5G (Brilliant Blue, 8GB RAM, 128GB Storage)",https://www.amazon.in/Motorola-Brilliant-Blue-128GB-Storage/dp/B0DDY9HMJG/ref=sr_1_5?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-5
B0BY8MCQ9S,"Mon, 10 Mar",(18% off),https://m.media-amazon.com/images/I/61LB+d0vheL._AC_UY218_.jpg,"₹19,999","₹16,482",Yes,4.2,"61,152","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_6?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-6
B0D5YCYS1G,"Mon, 10 Mar",(14% off),https://m.media-amazon.com/images/I/61Io5-ojWUL._AC_UY218_.jpg,"₹20,999","₹17,998",Yes,4.1,"4,946","OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_7?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-7
B0D7Z8FJZ9,"Mon, 10 Mar",(29% off),https://m.media-amazon.com/images/I/81nJiu51M+L._AC_UY218_.jpg,"₹25,999","₹18,499",Yes,4.1,"7,419","Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_8?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-8
B0CX5BZXLF,"Mon, 10 Mar",(11% off),https://m.media-amazon.com/images/I/61g1pqSjAhL._AC_UY218_.jpg,"₹26,999","₹23,998",Yes,4.2,"7,571","OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",https://www.amazon.in/Oneplus-Nord-Chrome-256GB-Storage/dp/B0CX5BZXLF/ref=sr_1_9?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-9
B0D7VJ72XK,"Mon, 10 Mar",(11% off),https://m.media-amazon.com/images/I/61JOYUJbhcL._AC_UY218_.jpg,"₹35,999","₹31,998",Yes,4.2,"2,724","OnePlus Nord 4 5G (Mercurial Silver, 12GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Mercurial-Silver-256GB-Storage/dp/B0D7VJ72XK/ref=sr_1_10?crid=MU2BOMQCUT3U&dib=eyJ2IjoiMSJ9.F7TURBUXkSlwfI9xD69vIH6trGGGmn12hkTrMrlFy5iIqj3n33jm4FTxCWg4nFuR3j8gdehsjmpXPyU94HxVVUnsntiRbXhMQWCQ0Ly6Y_y0qD8oR4SUn2M_5AfECk-pyB9PfcXC_CPt6UFR-U91p3-yx52hZ1q23KXShwz_akJ47VPzD_y3xhbVFfEwf17QXTFHQw34Dsa7bMG2kg3IUMb_oHq2BDfD1Cr36prHkSAz7vWVGVT4Ty4UsOFE4Y6u75gCWTMEw-l0MwJAJRtHr9ExGxpg4ggUYwGMDxE4mn8.gFOoar7vSWBDHCh2UxO718Q_5c0R-R__sztOAtEHAcs&dib_tag=se&keywords=smartphones&qid=1741418182&s=electronics&sprefix=smartphone%2Celectronics%2C194&sr=1-10
