asin,delivery,discount,image_url,original_price,price,prime,rating,reviews_count,sponsored,title,url
B0BN1XT6TF,N/A,(28% off),https://m.media-amazon.com/images/I/61uZGapgvFL._AC_UY218_.jpg,"₹17,828","₹12,799",No,3.8,1507,Yes,"HP Smart Tank 589 All-in-One WiFi Colour Printer – Print/Scan/Copy, High Capacity Ink Tank, Wireless, Ideal for Home & Office Printing",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTg1NzA5MjcwNzE2NjMzOjE3NDE0MTk1NTA6c3BfYXRmOjMwMDA1MDIzNjM4MTgzMjo6MDo6&url=%2FHP-Smart-Colour-Printer-Included%2Fdp%2FB0BN1XT6TF%2Fref%3Dsr_1_1_sspa%3Fcrid%3DTINXTBF0YKTM%26dib%3DeyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA%26dib_tag%3Dse%26keywords%3Dprinter%26qid%3D1741419549%26sprefix%3Dprinter%252Caps%252C240%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0BN1S41VH,N/A,(26% off),https://m.media-amazon.com/images/I/61LJaZbz3cL._AC_UY218_.jpg,"₹18,848","₹13,999",No,3.9,903,Yes,"HP Smart Tank 580 Aio WiFi Colour Wireless Solid Ink Printers with 1 Extra Black Ink Bottle (Upto 8000 Black & 6000 Colour Prints) + 1 Year Extended Warranty with PHA Coverage -Print, Scan & Copy",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTg1NzA5MjcwNzE2NjMzOjE3NDE0MTk1NTA6c3BfYXRmOjMwMDA1MDIzNjM4MTQzMjo6MDo6&url=%2FHP-Printer-Extended-Warranty-coverage-Print%2Fdp%2FB0BN1S41VH%2Fref%3Dsr_1_2_sspa%3Fcrid%3DTINXTBF0YKTM%26dib%3DeyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA%26dib_tag%3Dse%26keywords%3Dprinter%26qid%3D1741419549%26sprefix%3Dprinter%252Caps%252C240%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B08D9NDZ1Y,N/A,(28% off),https://m.media-amazon.com/images/I/615Kr5gtGhL._AC_UY218_.jpg,"₹4,971","₹3,599",No,3.4,13162,No,"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/Small Office, Compact Size, Reliable, Easy Set-Up Through HP Smart App On Your Pc Connected Through USB, Ideal for Home.",https://www.amazon.in/HP-Deskjet-Printer-Reliable-Connected/dp/B08D9NDZ1Y/ref=sr_1_3?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-3
B09KGV4PYS,N/A,(24% off),https://m.media-amazon.com/images/I/512f8pCW7vL._AC_UY218_.jpg,"₹17,999","₹13,699",No,4.0,2428,No,Epson EcoTank L3252 Wi-Fi All-in-One Ink Tank Printer (Black),https://www.amazon.in/Epson-EcoTank-L3252-Wi-Fi-Printer/dp/B09KGV4PYS/ref=sr_1_4?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-4
B01EJ5MM5M,N/A,(10% off),https://m.media-amazon.com/images/I/51TgRks3kIL._AC_UY218_.jpg,"₹3,875","₹3,499",No,3.4,14037,No,Canon Pixma MG2577s All-in-One Inkjet Colour Printer (Blue/White),https://www.amazon.in/Canon-MG2577s-Inkjet-Colour-Printer/dp/B01EJ5MM5M/ref=sr_1_5?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-5
B0C7RC4LTX,N/A,(21% off),https://m.media-amazon.com/images/I/515A6dGWQPL._AC_UY218_.jpg,"₹4,796.97","₹4,749",No,4.0,1115,No,SHREYANS 80mm Thermal Billing Printer with Autocutter | Ultra Fast Speed with Compact Design Makes is Much Easier to use | Bluetooth+WiFi+LAN+USB,https://www.amazon.in/SHREYANS-Autocutter-Bluetooth-Compatible-Softwares/dp/B0C7RC4LTX/ref=sr_1_6?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-6
B0CLJ11Y8K,N/A,(62% off),https://m.media-amazon.com/images/I/71I5bcNIJeL._AC_UY218_.jpg,"₹3,695","₹1,389",No,4.1,517,No,"ZEITEL® Mini Bluetooth Thermal Printer, Portable Label Printer Inkfree Printer for Android & iOS System, Black on White Thermal Printer with 13 Roll of Print Paper, Stickers, Blue",https://www.amazon.in/ZEITEL%C2%AE-Bluetooth-Thermal-Portable-Stickers/dp/B0CLJ11Y8K/ref=sr_1_7?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-7
B01JOFKL0A,N/A,N/A,https://m.media-amazon.com/images/I/51klz5w3beL._AC_UY218_.jpg,"₹5,899","₹5,899",No,3.8,10440,No,Canon Pixma E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),https://www.amazon.in/Canon-E477-Wireless-Efficient-Printer/dp/B01JOFKL0A/ref=sr_1_8?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-8
B0CVVY3FLK,N/A,(50% off),https://m.media-amazon.com/images/I/61yawoRKERL._AC_UY218_.jpg,"₹20,000","₹9,999",No,4.8,330,No,"SEZNIK Portable A4 Printer, Bluetooth, Inkless for Professionals,Travel | Mini Printer | USB, Bluetooth Printer Compatible with Android iOS Laptop | 1 Year Warranty by SEZNIK (Pro-HD304dpi-Black)",https://www.amazon.in/SEZNIK-Bluetooth-Professionals-Compatible-Pro-HD304dpi-Black/dp/B0CVVY3FLK/ref=sr_1_9?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-9
B08M4V9WQG,N/A,(18% off),https://m.media-amazon.com/images/I/515yRecAYfL._AC_UY218_.jpg,"₹23,850","₹19,499",No,4.3,1527,No,"Brother DCP-T820DW Printer - Auto Duplex Printing, Print, Scan, Copy, ADF, WiFi/LAN/USB, Print Up To 15K Pages In Black And 5K In Color Each For (CMY), Get An Extra Black Ink Bottle, Free Installation",https://www.amazon.in/Brother-DCP-T820DW-Refill-Printer-Printing/dp/B08M4V9WQG/ref=sr_1_10?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.9OU_bzuNDh3fxFQRbHNxkKqYkx-tZdv0AFp8pzUg8V4v_6B7i_RRsb5tVMbI6MYJtbUnW5tV4K3gU3xf6OWb4-SkMIDdT9QM_GSSlxcDaog-xNLQ3SMtGRXP636u46Ary1RVaSbTPgYNErxOKPHif1Yhr-IrIPGcF51JzpRk--TxGvzyAwAdvc9KLIQyjNqcYAv2TQgFvAJCU71U3UdULL4kpL4wFldda9D7FplEtZE.wN2w0UjwOXzl5TpjCo5rp_33cuskl_26Y4SrAwhVvSA&dib_tag=se&keywords=printer&qid=1741419549&sprefix=printer%2Caps%2C240&sr=8-10
